Date,Share Code,High,Low,Previous,Open,Close,Total Shares Traded,Last
12/8/2017,CAL,1.1,0.49,1.1,1.1,1.06,2500,1.06
12/11/2017,CAL,1.1,0.49,1.06,1.06,1.06,2100,1.06
12/12/2017,CAL,1.1,0.49,1.06,1.06,1.06,1600,1.06
12/13/2017,CAL,1.1,0.49,1.06,1.06,1.1,447800,1.1
12/14/2017,CAL,1.1,0.49,1.1,1.1,1.09,5600,1.1
12/15/2017,CAL,1.1,0.49,1.09,1.09,1.09,0,1.1
12/18/2017,CAL,1.1,0.49,1.09,1.09,1.1,1400,1.1
12/19/2017,CAL,1.1,0.49,1.1,1.1,1.1,7100,1.1
12/20/2017,CAL,1.1,0.49,1.1,1.1,1.1,0,1.1
12/21/2017,CAL,1.1,0.49,1.1,1.1,1.1,500,1.1
12/21/2017,CAL,1.1,0.49,1.1,1.1,1.1,0,1.1
12/27/2017,CAL,1.1,0.49,1.1,1.1,1.08,600,1.08
12/28/2017,CAL,1.1,0.49,1.08,1.08,1.08,5100,1.08
12/29/2017,CAL,1.1,0.49,1.08,1.08,1.08,1000,1.08
1/2/2018,CAL,1.08,1.08,1.08,1.08,1.08,0,1.08
1/3/2018,CAL,1.08,1.08,1.08,1.08,1.08,46100,1.08
1/4/2018,CAL,1.09,1.08,1.08,1.08,1.09,7600,1.08
1/5/2018,CAL,1.09,1.08,1.09,1.08,1.09,7000,1.08
1/8/2018,CAL,1.14,1.08,1.09,1.09,1.14,13900,1.14
1/9/2018,CAL,1.17,1.08,1.14,1.14,1.15,212100,1.17
1/10/2018,CAL,1.18,1.08,1.15,1.15,1.18,30000,1.21
1/11/2018,CAL,1.19,1.08,1.18,1.18,1.19,3700,1.19
1/12/2018,CAL,1.19,1.08,1.19,1.19,1.17,23000,1.17
1/15/2018,CAL,1.19,1.08,1.17,1.17,1.19,18100,1.18
1/16/2018,CAL,1.2,1.08,1.19,1.19,1.2,5100,1.19
1/17/2018,CAL,1.2,1.08,1.2,1.2,1.2,56600,1.19
1/18/2018,CAL,1.2,1.08,1.2,1.2,1.2,42400,1.2
1/19/2018,CAL,1.2,1.08,1.2,1.2,1.2,47700,1.2
1/22/2018,CAL,1.2,1.08,1.2,1.2,1.2,3200,1.2
1/23/2018,CAL,1.2,1.08,1.2,1.2,1.2,3100,1.2
1/24/2018,CAL,1.2,1.08,1.2,1.2,1.2,7700,1.2
1/25/2018,CAL,1.2,1.08,1.2,1.2,1.17,2100,1.17
1/26/2018,CAL,1.2,1.08,1.17,1.17,1.17,8700,1.17
1/29/2018,CAL,1.2,1.08,1.17,1.17,1.17,13600,1.17
1/30/2018,CAL,1.2,1.08,1.17,1.17,1.17,33100,1.17
1/31/2018,CAL,1.2,1.08,1.17,1.17,1.12,1400,1.15
2/1/2018,CAL,1.2,1.08,1.12,1.12,1.12,28100,1.15
2/2/2018,CAL,1.2,1.08,1.12,1.12,1.12,18100,1.15
